Dates,Open
311,153.15
312,156.5
313,151.5
314,153.7
315,152.5
316,148
317,149.95
318,147.25
319,151.15
320,154.6
321,157
322,156.8
323,156.75
324,159
325,159.95
326,158.45
327,156.95
328,152.45
329,153.5
330,154.9
331,155.1
332,152.65
333,155
334,155.05
335,153.1
336,148.35
337,148.55
338,145
339,147.2
340,144
341,143.45
342,145.2
343,148.05
344,149.8
345,149.5
346,152
347,154
348,154.6
349,152.65
350,154
351,155
352,154.9
353,153.2
354,152.8
355,156.5
356,156.3
357,158.85
358,154.3
359,153.4
360,155
361,152.45
362,152.4
363,151
364,153.5
365,150.25
366,147.9
367,149.1
368,151
369,152
370,153.95
371,151.5
372,151.5
373,152.8
374,152.9
375,152.8
376,150.65
377,151.45
378,151.45
379,151.7
380,149.9
381,151
382,152.9
383,143.9
384,145.55
385,147
386,144.8
387,145.7
388,141.6
389,139.6
390,140.2
391,140.85
392,140.6
393,142.4
394,143
395,143.95
396,141.1
397,145.45
398,138.5
399,139.15
400,139
401,140.05
402,142.55
403,142.15
404,141
405,140.9
406,139.2
407,140.9
408,142.4
409,144.9
410,143.95
411,146
412,141.95
413,142.1
414,141.9
415,138.2
416,132.45
417,129.05
418,130.5
419,129.1
420,128.35
421,129.25
422,128.8
423,127.6
424,130.25
425,129.8
426,128
427,128.6
428,128.2
429,126.9
430,128.3
431,125
432,125.5
433,124.75
434,125.4
435,124.75
436,125
437,122.8
438,122.8
439,121.1
440,119.6
441,119.2
442,117
443,118.8
444,119.5
445,122.4
446,120.75
447,124.8
448,124.8
449,125
450,122.5
451,123.85
452,124.05
453,123.9
454,124.35
455,123
456,124.35
457,123.8
458,121.45
459,121.5
460,124.65
461,122.95
462,122.8
463,118.55
464,116
465,117.65
466,118.8
467,117.8
468,120.1
469,118.9
470,121.7
471,123.1
472,119.8
473,123
474,124
475,118
476,130
477,127.7
478,131
479,134.1
480,138
481,139.4
482,140.65
483,138
484,139.5
485,148
486,149.05
487,152.9
488,152.45
489,155.95
490,152
491,150.95
492,153
493,149
494,151.45
495,151.9
496,152.3
497,153.95
498,141.95
499,142.5
500,140.95
501,136.95
502,147.9
503,148.1
504,140.9
505,143.45
506,138.9
507,139.15
508,138
509,139.7
510,139.85
511,138.35
512,137.35
513,135.2
514,137.9
515,142.2
516,142.25
517,141.75
518,141.9
519,141.4
520,140.25
521,140.1
522,139.65
523,140.55
524,141
525,143.4
526,140.4
527,138.7
528,142
529,139.85
530,138.45
531,138.8
532,136.9
533,137.8
534,137.5
535,144.25
536,143.9
537,138.55
538,138.5
539,136
540,138.4
541,141
542,143
543,140.9
544,138
545,131.45
546,133.45
547,131.75
548,131.9
549,134.8
550,130.35
551,131.5
552,133
553,134
554,132.9
555,132.9
556,133.45
557,134
558,134.45
559,133.5
560,134.25
561,135.6
562,132
563,130.5
564,128.15
565,127.5
566,124.75
567,120.5
568,127.5
569,125.6
570,126.3
571,124.55
572,126.5
573,126.9
574,127.25
575,129.4
576,122
577,125.3
578,127.3
579,119.3
580,119.4
